Mes;Badlar en $;Acciones;TC;Tasa de Call;Actividad Economica;Indice Salarial;IPC;Tasa de Incobrabilidad - mora;Bonos;Préstamos ME;Prestamos Individuos;Prestamos Empresa;Dep. a la Vista S. Priv.;Depòsitos a plazo S. Privado;Dep. en Moneda Extranjera;D. a la Vista sector publico;D. a Plazo sector publico
dic-04;4.01;1375.37;2.97;2.25;101.7;6.57;11.94;10.8;489.8;1716;7613;22631;36551;32260;3575;17942;9377
ene-05;3.27;1373.79;2.93;2.23;98.5;6.93;12.12;9.82;489.13;1765;8033;23457;37062;33688;3500;19304;10505
feb-05;2.92;1558.62;2.93;2.22;96.1;7.05;12.23;9.38;499.57;1848;8198;23409;37229;34775;3998;18828;10214
mar-05;3.09;1400.42;2.92;2.39;110.7;7.12;12.42;8.89;488.45;1992;8647;23508;38782;35377;2943;17969;10698
abr-05;3.92;1348.35;2.91;2.81;116.5;7.23;12.48;8.63;485.68;2023;8929;24333;38868;36205;3553;18952;10817
may-05;4.93;1485.55;2.89;3.34;126.7;7.37;12.56;8.14;521.48;2045;9348;24726;39556;36838;3305;20345;10950
jun-05;5.29;1367.41;2.89;4.69;116.5;7.47;12.67;7.58;520.91;2333;9610;25502;41176;36249;3320;19610;11636
jul-05;5.94;1507.59;2.86;5.06;107.6;7.62;12.8;6.02;582.68;2483;9797;25875;40969;36487;3376;20907;11307
ago-05;5.31;1581.65;2.91;4.36;105.8;7.79;12.85;7;573.82;2633;10324;26213;40310;37218;3459;20754;12397
sep-05;5.78;1694.83;2.91;4.58;104.9;7.91;13;6.57;616.45;2512;10803;27068;40732;37564;3481;20452;12377
oct-05;6.1;1608.86;3.01;4.69;104.5;8.08;13.1;6.24;613.36;2418;11498;28015;41535;37728;3409;21944;11663
nov-05;6.73;1554.67;2.97;6.64;108;8.15;13.26;5.85;610.84;2489;12077;28759;43179;37627;3509;21140;11374
dic-05;7.43;1543.31;3.03;6.74;110.5;8.28;13.41;4.99;626.67;2471;12935;29726;44842;37651;3647;21478;10759
ene-06;8.22;1793.97;3.06;7.19;106.5;8.4;13.58;4.89;667.52;2346;13662;30058;45149;38628;3720;22214;11202
feb-06;7.37;1714.05;3.07;5.41;104.1;8.51;13.64;4.74;694.97;2460;13925;31047;44277;39559;3921;23127;11060
