Mes;PBI Nominal;PBI Real;Tasa de Desempleo
dic-04;503304;484544;12.02
mar-05;510703;493603;12.92
jun-05;605772;581668;11.96
sep-05;590220;514698;11.12
dic-05;623458;522255;10.04
mar-06;643562;532348;11.31
jun-06;727989;614076;10.32
sep-06;729299;562979;10.09
dic-06;762766;572794;8.62
mar-07;774388;576847;9.69
jun-07;904350;674621;8.29
sep-07;914104;610426;8.1
dic-07;995079;625877;7.52
mar-08;1032357;616720;8.31
jun-08;1213883;711406;7.95
sep-08;1183692;647088;7.77
dic-08;1168652;613491;7.28
mar-09;1112307;578553;8.36
jun-09;1251465;631198;8.74
sep-09;1269735;610520;9.09
dic-09;1358210;615221;8.37
mar-10;1418858;611607;8.3
jun-10;1686067;733731;7.9
sep-10;1712835;668567;7.5
dic-10;1829124;668190;7.3
mar-11;1888827;662326;7.4
jun-11;2237124;766333;7.3
sep-11;2250487;711417;7.2
dic-11;2339658;703050;6.7
mar-12;2345560;672686;7.1
jun-12;2651098;730838;7.2
sep-12;2704828;703462;7.6
dic-12;2850170;706958;6.9
mar-13;2888981;677086;7.9
jun-13;3387811;776487;7.2
sep-13;3436547;721459;6.8
dic-13;3679896;706597;6.4
mar-14;3917649;671066;7.1
jun-14;4702630;760577;7.1
sep-14;4685503;690880;7.5
dic-14;5010564;686701;6.9
mar-15;5092694;672750;7.1
jun-15;5951479;791236;6.6
sep-15;6221731;718281;5.9
dic-15;6552140;703682;6.53
mar-16;7006645;677652;7.5
jun-16;8414556;760703;9.3
sep-16;8527629;694382;8.5
dic-16;8963808;693174;7.6
mar-17;9240878;681445;9.2
jun-17;10558208;778402;8.7
sep-17;11116422;721120;8.3
dic-17;11725406;724593;7.2
mar-18;12239176;707231;9.1
jun-18;14034055;747420;9.6
sep-18;15118124;696471;9
dic-18;16779534;679900;9.1
mar-19;17412113;665471;10.1
jun-19;20909685;750204;10.6
sep-19;22287255;683793;9.7
dic-19;25179946;672442;8.9
mar-20;24791233;630971;10.4
jun-20;23436530;607869;13.1
sep-20;27147368;613801;11.7
dic-20;28368678.16;651891.18;12
